Date,Gas Price,Oil Barrel Price,City
2020-07-27,2.29,41.46,albany
2020-07-27,2.18,41.46,binghamton
2020-07-27,2.22,41.46,buffalo
2020-07-27,2.14,41.46,elmira
2020-07-27,2.36,41.46,glens_falls
2020-07-27,2.19,41.46,ithica
2020-07-27,2.18,41.46,kingston
2020-07-27,2.32,41.46,nyc
2020-07-27,2.24,41.46,rochester
2020-07-27,2.20,41.46,syracuse
2020-07-27,2.30,41.46,utica
2020-07-27,2.28,41.46,watertown
2020-07-20,2.29,40.83,albany
2020-07-20,2.19,40.83,binghamton
2020-07-20,2.20,40.83,buffalo
2020-07-20,2.13,40.83,elmira
2020-07-20,2.35,40.83,glens_falls
2020-07-20,2.18,40.83,ithica
2020-07-20,2.18,40.83,kingston
2020-07-20,2.33,40.83,nyc
2020-07-20,2.22,40.83,rochester
2020-07-20,2.19,40.83,syracuse
2020-07-20,2.29,40.83,utica
2020-07-20,2.28,40.83,watertown
2020-07-13,2.27,40.06,albany
2020-07-13,2.18,40.06,binghamton
2020-07-13,2.19,40.06,buffalo
2020-07-13,2.10,40.06,elmira
2020-07-13,2.33,40.06,glens_falls
2020-07-13,2.16,40.06,ithica
2020-07-13,2.17,40.06,kingston
2020-07-13,2.33,40.06,nyc
2020-07-13,2.21,40.06,rochester
2020-07-13,2.16,40.06,syracuse
2020-07-13,2.27,40.06,utica
2020-07-13,2.28,40.06,watertown
2020-07-06,2.24,40.51,albany
2020-07-06,2.17,40.51,binghamton
2020-07-06,2.19,40.51,buffalo
2020-07-06,2.10,40.51,elmira
2020-07-06,2.29,40.51,glens_falls
2020-07-06,2.15,40.51,ithica
2020-07-06,2.17,40.51,kingston
2020-07-06,2.33,40.51,nyc
2020-07-06,2.21,40.51,rochester
2020-07-06,2.15,40.51,syracuse
2020-07-06,2.27,40.51,utica
2020-07-06,2.28,40.51,watertown
2020-06-29,2.23,39.67,albany
2020-06-29,2.17,39.67,binghamton
2020-06-29,2.19,39.67,buffalo
2020-06-29,2.10,39.67,elmira
2020-06-29,2.29,39.67,glens_falls
2020-06-29,2.16,39.67,ithica
2020-06-29,2.15,39.67,kingston
2020-06-29,2.33,39.67,nyc
2020-06-29,2.21,39.67,rochester
2020-06-29,2.14,39.67,syracuse
